link,book_name
https://www.storytel.com/il/he/books/%D7%94%D7%9B%D7%99%D7%A0%D7%94-%D7%A0%D7%97%D7%9E%D7%94-1256168,הכינה נחמה
https://www.storytel.com/il/he/books/%D7%90%D7%91%D7%90-%D7%A2%D7%95%D7%A9%D7%94-%D7%91%D7%95%D7%A9%D7%95%D7%AA-1257237,אבא עושה בושות
https://www.storytel.com/il/he/books/harry-potter-and-the-prisoner-of-azkaban-117935,Harry Potter and the Prisoner of Azkaban
https://www.storytel.com/il/he/books/harry-potter-and-the-philosophers-stone-117931,Harry Potter and the Philosopher's Stone
https://www.storytel.com/il/he/books/%D7%A7%D7%A8%D7%9E%D7%A8-%D7%94%D7%97%D7%AA%D7%95%D7%9C-%D7%99%D7%A9%D7%9F-%D7%9B%D7%9C-%D7%94%D7%96%D7%9E%D7%9F-1257238,קרמר החתול ישן כל הזמן
https://www.storytel.com/il/he/books/%D7%94%D7%A8%D7%A4%D7%AA%D7%A7%D7%90%D7%95%D7%AA-%D7%93%D7%95%D7%93-%D7%90%D7%A8%D7%99%D7%94-%D7%91%D7%A2%D7%A8%D7%91%D7%95%D7%AA-%D7%A8%D7%95%D7%9E%D7%A0%D7%99%D7%94-1407661,הרפתקאות דוד אריה בערבות רומניה
https://www.storytel.com/il/he/books/%D7%A9%D7%A7%D7%A9%D7%95%D7%A7%D7%94-%D7%A9%D7%AA%D7%99%D7%99%D7%9D-2435958,שקשוקה שתיים
https://www.storytel.com/il/he/books/%D7%9E%D7%94%D7%A8-%D7%9C%D7%9E%D7%99%D7%98%D7%95%D7%AA-%D7%90%D7%A8%D7%A0%D7%91%D7%95%D7%A0%D7%99%D7%9D-%D7%A7%D7%98%D7%A0%D7%99%D7%9D-1184094,"מהר למיטות, ארנבונים קטנים"
https://www.storytel.com/il/he/books/%D7%A7%D7%A6%D7%AA-%D7%99%D7%95%D7%AA%D7%A8-%D7%92%D7%93%D7%95%D7%9C-1184132,קצת יותר גדול
https://www.storytel.com/il/he/books/%D7%94%D7%97%D7%AA%D7%95%D7%9C-%D7%91%D7%9E%D7%92%D7%A4%D7%99%D7%99%D7%9D-1188468,החתול במגפיים
https://www.storytel.com/il/he/books/%D7%94%D7%98%D7%A8%D7%A7%D7%98%D7%95%D7%A8-%D7%91%D7%90%D7%A8%D7%92%D7%96-%D7%94%D7%97%D7%95%D7%9C-1256164,הטרקטור בארגז החול
https://www.storytel.com/il/he/books/%D7%9E%D7%A0%D7%94%D7%A8%D7%AA-%D7%94%D7%96%D7%9E%D7%9F-2-%D7%9E%D7%91%D7%A6%D7%A2-%D7%97%D7%95%D7%9E%D7%94-%D7%95%D7%9E%D7%92%D7%93%D7%9C-1568354,מנהרת הזמן (2): מבצע חומה ומגדל
https://www.storytel.com/il/he/books/harry-potter-and-the-half-blood-prince-117914,Harry Potter and the Half-Blood Prince
https://www.storytel.com/il/he/books/%D7%9B%D7%A8%D7%90%D7%9E%D7%9C-1187796,כראמל
https://www.storytel.com/il/he/books/%D7%97%D7%91%D7%95%D7%A8%D7%AA-%D7%9B%D7%95%D7%97-%D7%94%D7%9E%D7%95%D7%97-10-%D7%95%D7%AA%D7%A2%D7%9C%D7%95%D7%9E%D7%AA-%D7%94%D7%A2%D7%98%D7%9C%D7%A3-%D7%94%D7%A9%D7%97%D7%95%D7%A8-1187839,חבורת כוח המוח (10) ותעלומת העטלף השחור
https://www.storytel.com/il/he/books/%D7%94%D7%97%D7%91%D7%A8-%D7%94%D7%9B%D7%99-%D7%98%D7%95%D7%91-%D7%A9%D7%9C-%D7%96%D7%95%D7%90%D7%99-1396924,החבר הכי טוב של זואי
https://www.storytel.com/il/he/books/%D7%94%D7%99%D7%A0%D7%A9%D7%95%D7%A3-%D7%A9%D7%A8%D7%90%D7%94-%D7%94%D7%A4%D7%95%D7%9A-1536671,הינשוף שראה הפוך
https://www.storytel.com/il/he/books/%D7%94%D7%A9%D7%99%D7%A7%D7%95%D7%99-%D7%94%D7%9E%D7%95%D7%A4%D7%9C%D7%90-1926224,השיקוי המופלא
https://www.storytel.com/il/he/books/harry-potter-and-the-chamber-of-secrets-117903,Harry Potter and the Chamber of Secrets
https://www.storytel.com/il/he/books/harry-potter-and-the-order-of-the-phoenix-117918,Harry Potter and the Order of the Phoenix
