book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,days_from_release,recording_minutes,recording_hours
הכינה נחמה,מאיר שלו, מאיר שלו,0,0,2021.0,0,4.56,0,2021-04-27,762,10.0,0.0
אבא עושה בושות,מאיר שלו, מאיר שלו,0,0,2021.0,0,4.29,0,2021-04-27,762,6.0,0.0
Harry Potter and the Prisoner of Azkaban,J.K. Rowling, Stephen Fry,1,1,2015.0,0,4.82,1,2015-11-20,2747,3.0,12.0
Harry Potter and the Philosopher's Stone,J.K. Rowling, Stephen Fry,1,1,2015.0,0,4.7,1,2015-11-20,2747,25.0,8.0
קרמר החתול ישן כל הזמן,מאיר שלו, איל קיציס,0,0,2021.0,0,4.46,0,2021-04-27,762,3.0,0.0
הרפתקאות דוד אריה בערבות רומניה,ינץ לוי, ינץ לוי,0,0,2021.0,0,4.59,0,2021-10-05,601,54.0,0.0
שקשוקה שתיים,גליה עוז, גליה עוז,0,0,2023.0,0,0.0,0,2023-05-02,27,44.0,0.0
"מהר למיטות, ארנבונים קטנים",מריסבינה רוסו, ירדן אורלובסקי,0,0,2021.0,0,4.16,0,2021-03-29,791,5.0,0.0
קצת יותר גדול,ג׳ונתן אמט, אביה שפיצר,0,0,2021.0,0,4.73,0,2021-03-29,791,4.0,0.0
החתול במגפיים,אריך קסטנר, מוטי ברכאן,0,0,2021.0,0,4.81,0,2021-03-29,791,40.0,0.0
הטרקטור בארגז החול,מאיר שלו, איל קיציס,0,0,2021.0,0,4.66,0,2021-04-27,762,7.0,0.0
מנהרת הזמן (2): מבצע חומה ומגדל,גלילה רון פדר עמית, אילת פוזניאק,0,0,2022.0,0,4.68,0,2022-02-14,469,25.0,1.0
Harry Potter and the Half-Blood Prince,J.K. Rowling, Stephen Fry,1,1,2015.0,0,4.83,1,2015-11-20,2747,31.0,20.0
כראמל,מאירה ברנע גולדברג, רותם שפי,0,0,2021.0,0,4.6,0,2021-03-29,791,27.0,5.0
חבורת כוח המוח (10) ותעלומת העטלף השחור,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.67,0,2021-03-29,791,18.0,2.0
החבר הכי טוב של זואי,ליאור אייזלר, ליאור אייזלר,0,0,2021.0,0,4.25,0,2021-09-25,611,7.0,0.0
הינשוף שראה הפוך,יוסי גודארד, רמי ברוך,0,0,2022.0,0,5.0,0,2022-01-23,491,12.0,0.0
השיקוי המופלא,יובל אברמוביץ', יובל אברמוביץ',1,0,2022.0,0,4.68,0,2022-08-21,281,11.0,0.0
Harry Potter and the Chamber of Secrets,J.K. Rowling, Stephen Fry,1,1,2015.0,0,4.78,1,2015-11-20,2747,43.0,9.0
Harry Potter and the Order of the Phoenix,J.K. Rowling, Stephen Fry,1,1,2015.0,0,4.8,1,2015-11-20,2747,1.0,29.0
פילים לא מתקבלים,ליזה מנטצ׳ב, זיו זוהר מאיר,0,0,2021.0,0,3.92,0,2021-03-29,791,3.0,0.0
פיתה וסיסי רבות,רונית חכם, רונית חכם,0,0,2021.0,0,3.5,0,2021-03-29,791,3.0,0.0
טיגר טיגר האם זו האמת,קייטי ביירון, רמי ברוך,1,0,2021.0,0,4.67,0,2021-03-29,791,10.0,0.0
