book_name,publishing_year,stars,release_date,days_from_release,recording_minutes,recording_hours,English,German,Hebrew,Polish,Spanish,Agatha Christie,Agustín Moreto,Alexandra Södergran,Alexandre Dumas,Andreas Eschbach,Anthony Trollope,Anton Chekhov,Antonio Machado,Arcturus Publishing,Arnaldur Indriðason,Arno Strobel,Arthur Conan Doyle,Ashley Ladd,Audio-Forum,B.J. Hermansson,Barbara Cartland,Barrington Barber,Bertrice Small,Bram Stoker,Brothers Grimm,Brüder Grimm,Camille Bech,Charles Dickens,Charlotte Greig,Christian Morgenstern,Christine Feehan,Craig Johnson,Crissy Smith,Cupido,Desiree Holt,Doreen Virtue,Douglas Preston,Eckhart Tolle,Edgar Allan Poe,Edgar Wallace,Edith Nesbit,Edward Gibbon,Elizabeth Gaskell,Ella Wheeler Wilcox,Eve Langlais,F. Scott Fitzgerald,Frances Hodgson Burnett,Franz Kafka,Friedrich Schiller,Fyodor Dostoyevsky,G.K. Chesterton,Gerardo D'Orrico,Gerlis Zillgens,Giancarlo Villa,Grace Goodwin,Gustave Flaubert,Guy de Maupassant,H.G. Wells,H.P. Lovecraft,Hans Christian Andersen,Harper van Stalen,Henry James,Herman Melville,Holly Rose,Honoré de Balzac,Horst Evers,Hugo Burel,IRB Media,Innovative Language Learning,Innovative Language Learning LLC,International Military Tribunal,Iny Lorentz,J.P. Bowie,Jack London,James Joyce,James Owen,Jane Austen,Jason Dark,Jean-Christophe Grangé,Jerry Cotton,Jessa James,Jo Zybell,Johann Wolfgang von Goethe,John A. Cunliffe,John Buchan,Jonathan Swift,Joosr,Jose Zorrilla,Joseph Conrad,Jules Verne,Julie Jones,Jörg Maurer,Karen Rose,Karolina Wilczyńska,Katherine Mansfield,Kathryn Taylor,Ken Follett,Kerstin Gier,Kim Dare,Krystyna Kuhn,Kurt Tucholsky,LANGUAGE/30,Leo Tolstoy,Lope de Vega,Louisa May Alcott,Louise L. Hay,Lucas Hugo Pavetto,M. Sean Coleman,Malva B.,Margaret Maron,Mario Giordano,Mark Twain,Mary Shelley,Namekojirushi,Nancy Warren,Napoleon Hill,Nigel Cawthorne,Nikolai Gogol,Oscar Wilde,P.C. Cast,Pamela Ball,Paul Roland,Paula Cranford,Pedro Calderón de la Barca,Perry Rhodan,Peter Anderson,Peter Gotthardt,Petra Hammesfahr,Rabindranath Tagore,Rick Riordan,Robert Cole,Robert Louis Stevenson,Robert William Chambers,Rubén Darío,Rudyard Kipling,Rupert Matthews,Ryo Shirakome,Sandra Sinclair,Sarah Lark,Sascha Gutzeit,Simone Höft,Sir Arthur Conan Doyle,Sir Walter Scott,Sofia Fritzson,Steam Books,Supana Onikage,Thomas F. Madden,Thomas Hardy,Tirso de Molina,Trinity Taylor,Vanessa Salt,Varias Autoras,Various authors,Victor Hugo,Virginia Woolf,Virginie Bégaudeau,Walter Scott,Wilkie Collins,William Kienzle,World History,Yukiya Murasaki,Zane Grey,Émile Zola,אני רוצה לנסות!,אשכול נבו,גלילה רון פדר עמית,דויד גרוסמן,זוהר אביב,ליעד שהם,מאיר שלו,מאירה ברנע גולדברג,מיכל שלו,רם אורן, Alessandra Anderson, Alex Lehman, Anne Moll, Audio-Forum, Barbara Rosenblat, Bettina Reifschneider, C.J. Critt, Carlos J. Vega, Caroline Boyer, Carsten Wilhelm, Chandra Skyye, ChineseClass101.com, Chloe Jacobson," Christian Rode, Peter Groeger, Stephan Schwartz", Christopher Lee, Dana Geissler, Daniel Quintero, Danièle Panneton, David Nathan, Detlef Bierstedt," Detlef Bierstedt, Frank Glaubrecht, Franziska Pigulla, Joachim Kerzel"," Detlef Bierstedt, Frank Glaubrecht, Joachim Kerzel, Martin May", Dietmar Wunder, Diverse, EnglishClass101.com," Erich Räuker, Frank Otto Schenk, Stefan Staudinger, Michael Tietz, Michael Iwannek, Anke Reitzenstein, Gertie Honeck", Fabio Camero, Frank Glaubrecht," Frank Glaubrecht, Alexandra Lange"," Frank Glaubrecht, Joachim Kerzel", Franziska Pigulla, Franziska Wulf, FrenchPod101.com, Geoffrey Giuliano and the Icon Players," Geoffrey Giuliano, The Icon Players", George Guidall, GermanPod101.com, Germán Gijón, Guillermo Piedrahita, Harrie Dobby, Hernando Iván Cano, Horst Evers, ItalianPod101.com, JapanesePod101.com, Joachim Kerzel, Joanna Derengowska, Johannes Steck, Justine Eyre, Jörg Maurer, Karlheinz Gabor, Katharina Thalbach, Katherine Moran, KoreanClass101.com, LANGUAGE/30, Laura Garcìa, Luciano Caratto, Magdalena Berlusconi, Maike Luise Fengler," Manfred Lehmann, Joachim Kerzel, Thomas Danneberg", Marie Bierstedt, Marius Clarén, Masza Bogucka, Matthias Koeberlin, Michael Troy, Mirja Boes, Nicole Engeln, Pablo López, Pedro Montoya, Philipp Schepmann, PortuguesePod101.com," Reinhilt Schneider, Andreas von der Meden, Franz-Josef Steffens, Britta Lemon", Richard Ferrone, Robin Nixon, Rolf Berg, RussianPod101.com, Sabina Godec, Sam Devereaux, Santiago Munevar, Sarah Zimmerman, Sascha Rotermund, Scarlett Foxx, SpanishPod101.com, SwedishPod101.com, Sylwia Nowiczewska, Tanja Geke, Thomas F. Madden, Tomasz Ignaczak," Ulrich Pleitgen, Iris Berben", Vincent Davy, Volker Lechtenbrink, Walter Kreye," Wolf Frass, Lennardt Krüger", Yara Blümel," Yara Blümel, Sabine Arnhold", אביה שפיצר, אורי דרור, אילת פוזניאק, זוהר אביב, זיו זוהר מאיר, יובל בן עמי, מאיה לוי, מאיר שלו, נועה זוהר, נועה לפידות, ניר שאולוף, נתלי פיינשטיין, עדי חבין, עדי לב, ריקי בליך, תומר שרון, תמר עמית-יוסף,No announcer,Aoudio book,Aoudio book & Digital book,Digital book,Biographies,Business and economy,Classics,Crime,Erotica,History,Kids,Languages,Nonfiction,Personal development,Poetry and drama,Prose,Religion and spirituality,Science fiction and fantasy,Short stories,Thrillers,Young youth and mature youth,romanticism,A Word To The Wise,ADA audio,AUDIOBUCH,Andrews McMeel Publishing,Arcturus,Argon Verlag GmbH,Audio Media Digital,Author's Republic,Bookstream Audiobooks,Cascade Books,Cupido,Dogwise Publishing,Efalon Acies,Good Press,"Harlequin, una división de HarperCollins Ibérica, S.A.",HarperCollins,Highscore Music,IRB Media,Innovative Language Learning,J-Novel Club,Jazzybee Verlag,Joosr,KSA Publications Inc,Lust,Lübbe Audio,Miniature Masterpieces,Portable Poetry,"Recorded Books, Inc.",Resource Publications,SAGA Egmont,Select Publishing Group,Steam Books,Storyside,Tantor Audio,Tektime,The griffin classics,Totally Bound Publishing,Wildside Press,Wipf and Stock,WortArt,YOYO USA,blue panther books,e-artnow
הכינה נחמה,2021.0,4.56,2021-04-27,775,10.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
אבא עושה בושות,2021.0,4.29,2021-04-27,775,6.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
מנהרת הזמן (2): מבצע חומה ומגדל,2022.0,4.68,2022-02-14,482,25.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
חבורת כוח המוח (10) ותעלומת העטלף השחור,2021.0,4.67,2021-03-29,804,18.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
כראמל (4) האוצר הצהוב,2021.0,4.83,2021-03-29,804,25.0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
מנהרת הזמן (1): ירושלים במצור,2022.0,4.6,2022-02-15,481,18.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
מנהרת הזמן (53): נחש צפע,2022.0,3.4,2022-02-15,481,28.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
חבורת כוח המוח (13) בעקבות גנבי האופניים,2021.0,4.73,2021-03-29,804,5.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
חבורת כוח המוח (14) - ורוח הרפאים,2021.0,4.7,2021-03-29,804,14.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
חבורת כוח המוח (17) - והקלף המקולל,2021.0,4.87,2021-03-29,804,7.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
